IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
1,5,166,52,101,1,0,0
4,8,185,60,109,4,2,0
5,4,164,53,99,0,0,1
0,0,155,47,101,0,0,0
22,12,181,60,112,12,11,10
1,0,166,48,102,0,0,0
1,0,158,49,98,1,0,1
0,0,161,48,101,0,0,0
4,5,162,51,98,0,1,0
1,2,157,48,92,1,1,2
20,8,189,72,105,12,7,13
20,10,182,69,112,8,11,9
26,9,180,64,111,10,14,13
10,5,174,56,106,4,4,4
1,0,159,48,100,0,0,0
1,0,158,46,100,0,0,0
0,0,164,48,102,0,0,0
1,0,158,48,101,0,0,0
1,0,157,47,102,0,0,0
24,5,180,62,109,6,13,15
11,7,177,54,104,10,3,3
1,0,162,45,103,0,0,0
0,0,160,48,102,0,1,1
17,9,194,65,111,9,9,14
2,2,164,48,101,0,0,0
0,0,162,47,103,0,0,0
0,0,161,49,101,0,0,0
2,1,164,48,99,1,0,1
1,8,165,56,93,0,0,1
1,0,158,49,96,0,0,1
0,1,156,47,97,0,1,1
17,12,193,74,111,10,4,9
0,0,166,49,102,0,1,0
0,5,166,53,100,0,0,0
0,0,162,48,103,0,0,0
1,0,161,49,99,1,0,0
16,5,198,73,108,6,6,5
0,0,165,48,103,0,0,0
1,0,156,48,100,0,0,0
1,0,160,48,99,0,0,0
3,6,163,53,94,0,0,0
2,1,158,48,97,0,0,0
1,1,158,48,100,0,1,0
20,12,188,65,105,8,8,6
6,7,189,60,109,1,2,3
1,0,166,48,101,1,0,0
1,0,158,50,97,0,0,0
1,0,159,47,103,0,0,0
4,11,186,60,105,3,4,3
0,6,170,54,98,0,1,0
0,0,161,48,98,0,0,0
0,0,172,50,107,0,0,0
1,4,169,55,98,1,1,0
1,0,162,48,98,0,0,1
0,1,163,48,99,0,0,0
0,0,164,49,99,0,0,0
0,4,169,54,98,0,1,1
0,1,162,49,97,1,0,0
0,1,161,49,98,1,0,0
13,8,193,71,113,7,6,10
0,0,170,49,102,0,0,0
18,6,171,59,100,7,4,4
19,14,188,63,116,8,6,12
0,0,166,47,103,0,0,1
18,2,191,70,106,10,9,3
2,7,192,61,114,1,1,1
2,1,155,47,95,2,0,0
0,4,170,53,101,0,0,0
1,4,170,53,103,0,0,0
7,6,187,60,112,1,4,0
1,0,163,48,100,1,1,0
10,9,173,56,104,3,3,10
2,6,161,53,96,0,0,0
1,0,163,46,102,0,0,0
4,9,188,61,105,2,3,3
3,0,158,48,98,0,0,0
0,0,159,47,101,0,0,0
17,10,190,66,108,3,12,8
11,7,175,57,108,4,5,5
4,0,162,49,99,0,0,0
0,4,168,53,100,0,0,1
0,0,168,48,103,0,0,1
19,7,187,68,112,14,10,8
9,10,178,56,107,6,2,6
1,0,167,48,103,0,0,0
10,9,178,60,102,3,3,2
2,1,165,49,102,0,0,0
0,0,160,49,97,0,0,1
26,11,185,67,107,9,7,4
2,5,165,51,103,0,0,0
0,0,160,48,101,0,0,0
20,6,191,63,114,10,7,12
0,0,161,47,100,0,0,0
1,5,166,55,95,1,0,2
0,0,161,47,101,0,0,0
1,0,159,49,98,0,0,0
19,6,190,66,110,7,10,8
11,7,177,61,102,0,7,4
14,4,174,57,108,8,3,3
0,0,157,50,102,1,0,0
20,12,179,61,110,17,11,12
1,1,158,48,98,0,1,0
