Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Cells,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count
mult8_cgp14ep_ep63897_wc310_wtmcsa,25,14,121,48,79,13,12,8,320,2566,54,24
mult8_cgp14ep_ep42598_wc36102_wtmcla,27,17,148,68,91,14,14,17,396,2953,46,30
mult8_cgp14ep_ep49152_wc896_rcam,17,3,124,52,61,2,5,5,269,1912,34,6
mult8_cgp14ep_ep32768_wc3_4_csamcsa,0,4,170,52,103,0,1,0,330,2012,76,24
mult8_cgp14ep_ep26214_wc64_2_wtmcla,20,13,171,68,99,10,7,12,400,2925,68,30
mult8_cgp14ep_ep64716_wc2345_csamrca,20,11,71,36,47,13,20,25,243,2026,18,6
mult8_cgp14ep_ep65536_wc7009_csamcsa,39,27,60,29,42,25,20,20,262,2218,10,8
mult8_cgp14ep_ep49152_wc2880_wtmcsa,37,6,129,63,56,8,9,8,316,2536,29,12
mult8_cgp14ep_ep62259_wc54_5_wtmcsa,10,10,167,56,97,0,1,3,344,2501,77,30
mult8_cgp14ep_ep65536_wc621_csamrca,16,10,101,37,57,14,10,9,254,1968,36,8
mult8_cgp14ep_ep49152_wc52_wtmcsa,10,7,167,57,92,5,2,1,341,2483,72,30
mult8_cgp14ep_ep42598_wc2528_wtmcla,28,13,156,75,81,5,20,14,392,2970,41,24
mult8_cgp14ep_ep13107_wc5152_wtmrca,2,0,161,48,100,0,0,0,311,1931,73,34
mult8_cgp14ep_ep63078_wc54_2_rcam,5,2,142,42,87,3,6,1,288,1883,65,6
mult8_cgp14ep_ep55705_wc3434_csamrca,8,5,119,45,60,4,4,7,252,1957,34,10
mult8_cgp14ep_ep63897_wc1860_csamrca,31,18,78,35,53,8,15,14,252,2006,21,10
mult8_cgp14ep_ep32768_wc24_csamrca,2,1,155,47,93,1,2,0,301,1861,70,18
mult8_cgp14ep_ep32768_wc80_wtmcla,23,12,175,69,96,9,8,10,402,2946,64,32
mult8_cgp14ep_ep49152_wc7_2_rcam,2,0,159,49,99,1,1,1,312,1848,75,10
mult8_cgp14ep_ep42598_wc1920_csamrca,2,3,142,42,90,1,0,2,282,1893,57,20
mult8_cgp14ep_ep63897_wc13522_wtmcla,67,35,77,58,28,33,37,28,363,3087,3,4
mult8_cgp14ep_ep26214_wc3716_wtmrca,3,1,153,49,89,1,2,0,298,1954,60,36
mult8_cgp14ep_ep63078_wc2928_csamrca,32,11,88,45,42,9,10,17,254,1996,16,8
mult8_cgp14ep_ep55705_wc386_wtmcla,34,13,148,65,82,10,8,6,366,2947,50,28
mult8_cgp14ep_ep55705_wc28482_wtmcsa,41,15,96,76,30,18,12,16,304,2573,2,0
mult8_cgp14ep_ep32768_wc4_2_rcam,2,1,163,48,100,0,0,0,314,1840,76,12
mult8_cgp14ep_ep55705_wc311_rcam,10,6,127,46,71,5,5,3,273,1914,44,8
mult8_cgp14ep_ep65536_wc2912_wtmcla,46,30,87,56,48,21,20,35,343,3082,18,8
mult8_cgp14ep_ep65536_wc22_3_rcam,3,1,147,48,94,2,2,1,298,1881,72,10
mult8_cgp14ep_ep63897_wc4554_wtmrca,47,13,73,44,33,9,12,11,242,2091,14,8
mult8_cgp14ep_ep63078_wc12416_rcam,29,7,77,48,25,25,18,11,240,1999,2,8
mult8_cgp14ep_ep19660_wc106_wtmcsa,10,9,177,63,101,0,1,2,363,2470,74,36
mult8_cgp14ep_ep19660_wc744_rcam,1,1,155,47,97,0,0,0,301,1867,67,14
mult8_cgp14ep_ep49152_wc8660_wtmcla,44,15,140,72,68,9,11,18,377,2999,33,18
mult8_cgp14ep_ep63897_wc5568_wtmrca,31,15,73,45,34,18,14,14,244,2103,10,8
mult8_cgp14ep_ep63078_wc12021_rcam,32,14,75,43,41,15,14,19,253,2008,3,4
mult8_cgp14ep_ep13107_wc4240_wtmcsa,13,7,178,54,109,4,0,6,371,2457,80,40
mult8_cgp14ep_ep65536_wc11_wtmcla,18,16,184,69,110,4,5,7,413,2916,78,34
mult8_cgp14ep_ep19660_wc6_4_wtmcsa,7,6,187,58,108,2,1,2,371,2447,83,36
mult8_cgp14ep_ep26214_wc4194_rcam,1,0,152,49,95,0,2,1,300,1861,62,16
mult8_cgp14ep_ep63897_wc18496_wtmcsa,60,21,67,60,27,26,22,29,312,2638,0,2
mult8_cgp14ep_ep13107_wc528_wtmcla,20,6,195,66,110,9,13,10,429,2900,74,40
mult8_cgp14ep_ep13107_wc58_wtmrca,0,0,163,47,101,0,0,0,311,1924,75,34
mult8_cgp14ep_ep64716_wc62538_wtmcla,63,49,56,52,36,40,45,26,367,3115,1,2
mult8_cgp14ep_ep13107_wc3216_rcam,0,0,161,46,104,0,0,0,311,1853,77,18
mult8_cgp14ep_ep64716_wc8192_wtmrca,45,15,61,33,31,17,16,18,236,2141,6,8
mult8_cgp14ep_ep42598_wc4308_wtmcsa,13,5,163,58,88,6,4,4,341,2515,57,28
mult8_cgp14ep_ep64716_wc56835_rcam,40,25,38,22,19,23,28,21,216,2056,0,0
mult8_cgp14ep_ep64716_wc5697_csamrca,42,21,49,37,23,20,19,18,229,2031,6,4
mult8_cgp14ep_ep42598_wc4308_wtmrca,12,4,136,48,76,2,1,2,281,1983,45,30
mult8_cgp14ep_ep63078_wc83_4_wtmcla,26,7,165,67,95,6,14,9,389,2947,67,30
mult8_cgp14ep_ep63897_wc8770_rcam,29,15,71,48,25,10,19,12,229,2014,3,4
mult8_cgp14ep_ep49152_wc102_csamcsa,3,4,153,56,85,2,2,0,305,2063,58,18
mult8_cgp14ep_ep55705_wc102_wtmrca,12,2,133,41,80,2,2,0,272,1974,59,28
