IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
0,0,41,10,20,0,0,0
0,0,139,41,73,0,0,0
0,0,138,41,72,0,0,0
0,0,65,17,34,0,0,0
0,0,43,11,23,0,0,0
0,0,93,27,45,0,0,0
0,0,46,10,23,0,0,0
0,0,116,34,59,0,0,0
0,0,140,41,74,0,0,0
0,0,92,27,45,0,0,0
0,0,89,25,42,0,0,0
0,0,115,34,58,0,0,0
0,0,101,30,51,0,0,0
0,0,35,9,18,0,0,0
0,0,114,34,58,0,0,0
0,0,24,5,11,0,0,0
0,0,130,39,66,0,0,0
0,0,130,39,66,0,0,0
0,0,92,27,45,0,0,0
0,0,60,17,32,0,0,0
0,0,92,27,45,0,0,0
0,0,94,27,46,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,57,15,32,0,0,0
0,0,77,21,40,0,0,0
0,0,42,9,20,0,0,0
0,0,114,33,58,0,0,0
0,0,120,35,61,0,0,0
0,0,116,34,59,0,0,0
0,0,109,32,55,0,0,0
0,0,42,7,21,0,0,0
0,0,138,41,72,0,0,0
0,0,84,26,39,0,0,0
0,0,47,13,23,0,0,0
0,0,26,4,13,0,0,0
0,0,44,10,23,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,103,30,54,0,0,0
0,0,33,6,17,0,0,0
0,0,43,10,20,0,0,0
0,0,138,41,72,0,0,0
0,0,80,22,40,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,41,9,19,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,33,10,17,0,0,0
0,0,92,27,45,0,0,0
0,0,138,41,72,0,0,0
0,0,63,19,33,0,0,0
0,0,116,34,59,0,0,0
0,0,116,34,59,0,0,0
0,0,116,34,59,0,0,0
0,0,35,9,18,0,0,0
0,0,138,41,72,0,0,0
0,0,71,19,39,0,0,0
0,0,95,28,47,0,0,0
0,0,36,10,17,0,0,0
0,0,31,10,17,0,0,0
0,0,35,10,17,0,0,0
0,0,58,18,31,0,0,0
0,0,116,34,59,0,0,0
0,0,44,11,23,0,0,0
0,0,36,9,20,0,0,0
0,0,101,29,49,0,0,0
0,0,138,41,72,0,0,0
0,0,47,8,25,0,0,0
0,0,158,48,84,0,0,0
0,0,92,27,45,0,0,0
0,0,158,48,84,0,0,0
0,0,158,48,84,0,0,0
0,0,141,41,74,0,0,0
0,0,82,21,42,0,0,0
0,0,116,34,59,0,0,0
0,0,113,33,58,0,0,0
0,0,37,7,18,0,0,0
0,0,116,34,59,0,0,0
0,0,97,28,48,0,0,0
0,0,58,16,32,0,0,0
0,0,35,10,18,0,0,0
0,0,92,27,45,0,0,0
0,0,20,2,6,0,0,0
0,0,36,10,17,0,0,0
0,0,45,14,25,0,0,0
0,0,158,48,84,0,0,0
0,0,88,26,44,0,0,0
0,0,36,11,18,0,0,0
0,0,138,41,72,0,0,0
0,0,60,17,32,0,0,0
0,0,138,41,72,0,0,0
0,0,114,33,57,0,0,0
0,0,26,7,14,0,0,0
0,0,92,27,45,0,0,0
0,0,138,41,72,0,0,0
0,0,92,27,45,0,0,0
0,0,116,34,59,0,0,0
0,0,110,31,56,0,0,0
0,0,123,35,64,0,0,0
0,0,81,23,37,0,0,0
0,0,30,8,12,0,0,0
0,0,93,27,47,0,0,0
0,0,115,33,58,0,0,0
0,0,38,10,22,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,35,9,19,0,0,0
0,0,101,29,50,0,0,0
0,0,94,28,45,0,0,0
0,0,59,14,34,0,0,0
0,0,84,25,39,0,0,0
0,0,39,12,22,0,0,0
0,0,37,10,18,0,0,0
0,0,42,10,19,0,0,0
0,0,60,17,31,0,0,0
0,0,39,10,19,0,0,0
0,0,95,27,47,0,0,0
0,0,104,30,52,0,0,0
0,0,133,39,69,0,0,0
0,0,81,22,39,0,0,0
0,0,138,41,72,0,0,0
0,0,158,47,84,0,0,0
0,0,116,34,59,0,0,0
0,0,94,27,46,0,0,0
0,0,93,27,46,0,0,0
0,0,44,13,21,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,119,35,61,0,0,0
0,0,138,41,72,0,0,0
0,0,38,8,18,0,0,0
0,0,67,19,32,0,0,0
0,0,49,11,27,0,0,0
0,0,69,16,35,0,0,0
0,0,138,41,72,0,0,0
0,0,114,33,58,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,46,11,23,0,0,0
0,0,94,27,46,0,0,0
0,0,37,9,18,0,0,0
0,0,50,15,27,0,0,0
0,0,27,8,14,0,0,0
0,0,29,7,16,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,114,33,59,0,0,0
0,0,94,27,46,0,0,0
0,0,116,34,59,0,0,0
0,0,35,10,17,0,0,0
0,0,116,34,59,0,0,0
0,0,138,41,72,0,0,0
0,0,37,8,21,0,0,0
0,0,97,27,48,0,0,0
0,0,66,19,34,0,0,0
0,0,48,13,25,0,0,0
0,0,50,11,22,0,0,0
0,0,116,34,59,0,0,0
0,0,68,18,35,0,0,0
0,0,86,25,44,0,0,0
0,0,138,41,72,0,0,0
0,0,157,47,84,0,0,0
0,0,157,47,84,0,0,0
0,0,139,42,72,0,0,0
0,0,123,36,63,0,0,0
0,0,90,27,42,0,0,0
0,0,89,26,44,0,0,0
0,0,30,7,16,0,0,0
0,0,105,32,48,0,0,0
0,0,47,12,23,0,0,0
0,0,116,34,59,0,0,0
0,0,38,9,21,0,0,0
0,0,41,10,19,0,0,0
0,0,95,27,47,0,0,0
0,0,37,10,20,0,0,0
0,0,40,10,20,0,0,0
0,0,68,18,35,0,0,0
0,0,97,27,48,0,0,0
0,0,96,28,47,0,0,0
0,0,42,13,24,0,0,0
0,0,46,11,23,0,0,0
0,0,119,34,61,0,0,0
0,0,110,33,57,0,0,0
0,0,35,9,15,0,0,0
0,0,60,17,29,0,0,0
0,0,120,34,62,0,0,0
0,0,138,41,72,0,0,0
0,0,121,35,61,0,0,0
0,0,44,10,23,0,0,0
0,0,139,42,73,0,0,0
0,0,59,17,29,0,0,0
0,0,62,16,36,0,0,0
0,0,31,8,16,0,0,0
0,0,116,34,59,0,0,0
0,0,35,10,16,0,0,0
0,0,80,23,39,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
0,0,97,28,48,0,0,0
0,1,40,11,20,0,0,0
0,0,92,27,45,0,0,0
0,0,138,41,72,0,0,0
0,0,145,43,76,0,0,0
0,0,34,9,19,0,0,0
0,0,138,41,72,0,0,0
0,0,36,8,19,0,0,0
0,0,94,27,45,0,0,0
0,0,42,10,22,0,0,0
0,0,116,34,59,0,0,0
0,0,120,35,61,0,0,0
0,0,116,34,59,0,0,0
0,0,116,34,59,0,0,0
0,0,138,41,72,0,0,0
0,0,138,41,72,0,0,0
