Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc128_3_wtmcla,16,5,198,73,108,6,6,5,417,2874,74,36,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc128_wtmcla,20,12,188,65,105,8,8,6,412,2900,74,36,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 412]"
mult8_cgp14ep_ep13107_wc12_wtmcla,13,8,193,71,113,7,6,10,421,2906,78,36,"[0, 0, 9, 2, 5, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc1304_wtmcla,19,14,188,63,116,8,6,12,426,2912,76,40,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 426]"
mult8_cgp14ep_ep13107_wc130_wtmcla,18,2,191,70,106,10,9,3,409,2886,73,38,"[0, 0, 6, 3, 1, 0, 0, 0]","[490, 409]"
mult8_cgp14ep_ep13107_wc132_wtmcla,17,10,190,66,108,3,12,8,414,2908,77,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep13107_wc1344_wtmcla,19,7,187,68,112,14,10,8,425,2918,76,42,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc134_wtmcla,26,11,185,67,107,9,7,4,416,2911,73,34,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 416]"
mult8_cgp14ep_ep13107_wc1360_wtmcla,20,6,191,63,114,10,7,12,423,2887,77,38,"[0, 0, 7, 5, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep13107_wc136_wtmcla,19,6,190,66,110,7,10,8,416,2885,75,44,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 416]"
