Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep32768_wc10768_wtmcla,30,14,171,61,102,8,11,6,403,2925,63,36,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 403]"
mult8_cgp14ep_ep32768_wc10816_wtmcla,22,10,163,66,94,14,15,18,402,2939,58,30,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc10818_wtmcla,19,17,162,62,104,15,13,8,400,2948,55,36,"[0, 0, 7, 5, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc10_2_wtmcla,27,4,184,65,107,11,4,10,412,2890,77,34,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 412]"
mult8_cgp14ep_ep32768_wc10_3_wtmcla,24,3,191,70,106,9,7,8,418,2901,77,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep32768_wc10_wtmcla,17,7,184,70,110,8,12,7,415,2895,79,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc11084_wtmcla,27,11,164,60,97,7,9,13,388,2941,62,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 388]"
mult8_cgp14ep_ep32768_wc1118_wtmcla,23,14,167,68,90,9,10,16,397,2946,51,26,"[0, 0, 5, 3, 5, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc1120_wtmcla,25,12,163,72,94,15,11,8,400,2921,54,28,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc1136_wtmcla,29,11,163,62,88,15,13,15,396,2943,51,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc11472_wtmcla,20,17,157,65,98,17,14,11,399,2942,53,36,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 399]"
mult8_cgp14ep_ep32768_wc11498_wtmcla,26,12,154,59,97,22,12,17,399,2953,66,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 399]"
mult8_cgp14ep_ep32768_wc1154_wtmcla,28,19,166,75,89,13,7,6,403,2936,53,20,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 403]"
mult8_cgp14ep_ep32768_wc1174_wtmcla,28,20,158,67,96,10,11,10,400,2960,55,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc119_wtmcla,21,10,171,68,103,12,12,5,402,2891,69,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc11_2_wtmcla,13,10,186,67,110,8,10,11,415,2935,77,36,"[0, 0, 9, 6, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc11_3_wtmcla,20,7,194,71,107,5,5,11,420,2926,76,36,"[0, 0, 6, 3, 1, 0, 0, 0]","[490, 420]"
mult8_cgp14ep_ep32768_wc11_4_wtmcla,19,9,192,70,111,9,4,4,418,2904,78,38,"[0, 0, 9, 2, 5, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep32768_wc11_5_wtmcla,15,4,193,67,103,15,3,9,409,2892,79,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 409]"
mult8_cgp14ep_ep32768_wc11_wtmcla,19,9,185,61,112,7,10,8,411,2927,77,36,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep32768_wc1202_wtmcla,31,10,158,71,97,9,9,8,393,2948,53,26,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 393]"
mult8_cgp14ep_ep32768_wc120_wtmcla,19,7,180,62,104,16,10,6,404,2919,69,32,"[0, 0, 6, 4, 1, 0, 0, 0]","[490, 404]"
mult8_cgp14ep_ep32768_wc1222_wtmcla,24,7,175,65,102,11,10,8,402,2925,58,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc122_wtmcla,23,12,169,62,100,4,10,18,398,2941,61,28,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 398]"
mult8_cgp14ep_ep32768_wc12320_wtmcla,16,11,178,67,113,11,13,9,418,2934,57,40,"[0, 0, 8, 3, 5, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep32768_wc1234_wtmcla,20,15,157,69,96,16,10,12,395,2941,56,26,"[0, 0, 5, 4, 4, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc1244_wtmcla,20,14,173,65,88,10,14,10,394,2950,57,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 394]"
mult8_cgp14ep_ep32768_wc12566_wtmcla,27,13,165,64,96,13,8,15,401,2934,61,34,"[0, 0, 4, 4, 3, 0, 0, 0]","[490, 401]"
mult8_cgp14ep_ep32768_wc1256_wtmcla,29,13,158,68,91,11,13,13,396,2932,51,24,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc12672_wtmcla,25,20,164,57,110,15,10,9,410,2939,66,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 410]"
mult8_cgp14ep_ep32768_wc1284_wtmcla,15,9,192,65,106,7,10,6,410,2906,69,42,"[0, 0, 11, 1, 5, 0, 0, 0]","[490, 410]"
mult8_cgp14ep_ep32768_wc128_2_wtmcla,21,9,176,71,92,7,7,11,394,2930,64,28,"[0, 0, 8, 1, 4, 0, 0, 0]","[490, 394]"
mult8_cgp14ep_ep32768_wc128_wtmcla,20,8,169,69,94,9,17,10,396,2912,63,28,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc12928_wtmcla,23,13,165,66,93,11,16,14,401,2939,54,32,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 401]"
mult8_cgp14ep_ep32768_wc1298_wtmcla,26,10,168,60,102,11,5,9,391,2936,63,34,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 391]"
mult8_cgp14ep_ep32768_wc12_wtmcla,21,6,192,66,106,3,10,6,410,2907,76,36,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 410]"
mult8_cgp14ep_ep32768_wc130_2_wtmcla,27,8,168,70,93,10,12,11,399,2933,66,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 399]"
mult8_cgp14ep_ep32768_wc130_wtmcla,18,10,169,70,96,10,12,13,398,2937,61,28,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 398]"
mult8_cgp14ep_ep32768_wc1326_wtmcla,32,8,163,61,99,5,13,13,394,2938,55,28,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 394]"
mult8_cgp14ep_ep32768_wc1346_wtmcla,22,16,157,61,98,15,10,18,397,2938,61,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc13568_wtmcla,37,11,165,63,108,9,14,11,418,2925,66,42,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep32768_wc13672_wtmcla,24,14,170,67,100,14,13,15,417,2953,56,38,"[0, 0, 11, 6, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep32768_wc1426_wtmcla,21,18,172,64,101,8,9,13,406,2928,60,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 406]"
mult8_cgp14ep_ep32768_wc146_wtmcla,16,7,173,69,96,11,8,12,392,2935,61,32,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 392]"
mult8_cgp14ep_ep32768_wc1490_wtmcla,28,8,168,65,96,10,5,12,392,2956,60,24,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 392]"
mult8_cgp14ep_ep32768_wc14_2_wtmcla,20,7,193,67,110,7,5,4,413,2909,76,38,"[0, 0, 5, 3, 1, 0, 0, 0]","[490, 413]"
mult8_cgp14ep_ep32768_wc14_3_wtmcla,16,8,195,69,103,11,5,5,412,2886,76,34,"[0, 0, 12, 1, 5, 0, 0, 0]","[490, 412]"
mult8_cgp14ep_ep32768_wc14_wtmcla,18,8,186,67,104,14,12,5,414,2914,77,34,"[0, 0, 10, 4, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep32768_wc1500_wtmcla,26,11,164,75,86,8,16,4,390,2931,56,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 390]"
mult8_cgp14ep_ep32768_wc15072_wtmcla,33,17,152,64,92,16,15,13,402,2977,56,28,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc150_wtmcla,20,14,169,68,92,11,11,10,395,2946,60,28,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc156_wtmcla,24,7,176,68,96,7,12,9,399,2907,68,34,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 399]"
mult8_cgp14ep_ep32768_wc1592_wtmcla,31,13,165,64,92,14,11,10,400,2909,59,30,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc1594_wtmcla,26,9,170,68,90,14,13,8,398,2938,56,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 398]"
mult8_cgp14ep_ep32768_wc15_wtmcla,17,8,183,66,109,11,11,10,415,2916,79,36,"[0, 0, 7, 3, 4, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc16000_wtmcla,23,16,171,63,102,15,15,16,421,2940,68,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep32768_wc160_2_wtmcla,20,13,171,72,91,6,15,14,402,2954,59,28,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc160_3_wtmcla,19,6,184,69,101,11,10,7,407,2915,69,34,"[0, 0, 7, 5, 1, 0, 0, 0]","[490, 407]"
mult8_cgp14ep_ep32768_wc160_4_wtmcla,21,10,188,74,101,4,5,8,411,2920,67,36,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep32768_wc160_5_wtmcla,21,7,187,65,116,13,12,4,425,2894,76,42,"[0, 0, 8, 2, 5, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep32768_wc160_wtmcla,23,11,171,70,92,13,12,14,406,2964,58,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 406]"
mult8_cgp14ep_ep32768_wc16320_wtmcla,27,7,162,67,102,18,9,15,407,2922,58,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 407]"
mult8_cgp14ep_ep32768_wc16416_wtmcla,21,15,181,64,112,13,13,12,431,2931,76,38,"[0, 0, 7, 5, 1, 0, 0, 0]","[490, 431]"
mult8_cgp14ep_ep32768_wc164_wtmcla,26,8,187,68,107,7,10,4,417,2918,72,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep32768_wc16752_wtmcla,37,13,164,65,105,10,9,12,415,2928,63,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc1690_wtmcla,15,8,168,71,97,13,14,13,399,2928,60,34,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 399]"
mult8_cgp14ep_ep32768_wc16928_wtmcla,28,12,176,63,111,11,9,8,418,2918,73,38,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep32768_wc16976_wtmcla,21,9,166,74,107,15,16,18,426,2932,59,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 426]"
mult8_cgp14ep_ep32768_wc16_2_wtmcla,14,6,186,70,113,12,8,20,429,2917,80,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep32768_wc16_3_wtmcla,17,10,183,62,108,9,9,8,406,2893,77,36,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 406]"
mult8_cgp14ep_ep32768_wc16_4_wtmcla,16,7,194,68,108,14,7,9,423,2935,78,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep32768_wc16_5_wtmcla,13,5,197,76,104,6,7,6,414,2909,76,38,"[0, 0, 13, 0, 5, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep32768_wc16_wtmcla,18,9,186,70,112,6,6,8,415,2917,76,36,"[0, 0, 6, 3, 5, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc1700_wtmcla,28,21,164,60,94,9,8,12,396,2929,56,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc17012_wtmcla,21,18,166,63,100,12,11,14,405,2934,61,36,"[0, 0, 9, 8, 1, 0, 0, 0]","[490, 405]"
mult8_cgp14ep_ep32768_wc17058_wtmcla,33,14,155,63,102,12,12,16,407,2941,56,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 407]"
mult8_cgp14ep_ep32768_wc170_wtmcla,22,12,168,64,93,12,11,13,395,2937,60,28,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc1710_wtmcla,25,8,165,74,88,12,10,7,389,2956,47,26,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 389]"
mult8_cgp14ep_ep32768_wc17890_wtmcla,23,12,169,71,100,12,15,11,413,2935,57,34,"[0, 0, 2, 4, 4, 0, 0, 0]","[490, 413]"
mult8_cgp14ep_ep32768_wc178_wtmcla,21,5,186,62,113,4,11,9,411,2906,77,36,"[0, 0, 6, 4, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep32768_wc17_wtmcla,17,5,189,66,112,12,6,7,414,2905,80,34,"[0, 0, 9, 6, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep32768_wc18082_wtmcla,14,18,169,73,98,7,7,14,400,2922,56,34,"[0, 0, 11, 6, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc18208_wtmcla,27,8,170,65,104,17,9,15,415,2930,62,42,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc18272_wtmcla,30,10,163,65,112,12,10,6,408,2948,62,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 408]"
mult8_cgp14ep_ep32768_wc18432_wtmcla,20,7,168,57,114,13,14,18,411,2937,72,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep32768_wc18434_wtmcla,27,14,156,60,95,15,19,16,402,2949,59,30,"[0, 0, 5, 4, 4, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc18688_wtmcla,24,17,164,69,93,15,14,15,411,2928,52,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep32768_wc18704_wtmcla,19,17,155,69,96,14,17,10,397,2956,54,24,"[0, 0, 5, 5, 5, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc1872_wtmcla,27,7,176,60,104,11,11,9,405,2919,62,34,"[0, 0, 7, 4, 4, 0, 0, 0]","[490, 405]"
mult8_cgp14ep_ep32768_wc18958_wtmcla,23,13,162,67,92,20,12,11,400,2937,50,28,"[0, 0, 3, 5, 4, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc19018_wtmcla,29,13,161,59,93,13,15,17,400,2945,55,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc190_wtmcla,26,11,168,69,89,9,8,7,387,2922,60,28,"[0, 0, 6, 3, 1, 0, 0, 0]","[490, 387]"
mult8_cgp14ep_ep32768_wc19336_wtmcla,17,12,172,69,102,9,16,15,412,2939,54,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 412]"
mult8_cgp14ep_ep32768_wc1936_wtmcla,25,3,159,72,98,15,12,9,393,2951,53,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 393]"
mult8_cgp14ep_ep32768_wc194_wtmcla,29,7,168,74,93,12,10,5,398,2940,61,26,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 398]"
mult8_cgp14ep_ep32768_wc196_wtmcla,27,6,162,64,89,13,8,10,379,2918,56,26,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 379]"
mult8_cgp14ep_ep32768_wc198_wtmcla,24,13,173,69,96,7,6,8,396,2929,63,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc19_wtmcla,22,7,182,66,103,7,8,14,409,2916,72,38,"[0, 0, 7, 3, 1, 0, 0, 0]","[490, 409]"
mult8_cgp14ep_ep32768_wc1_wtmcla,17,15,196,66,119,6,9,8,436,2880,83,38,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 436]"
mult8_cgp14ep_ep32768_wc2006_wtmcla,27,11,158,69,92,10,15,11,393,2949,52,30,"[0, 0, 9, 6, 1, 0, 0, 0]","[490, 393]"
mult8_cgp14ep_ep32768_wc200_2_wtmcla,24,4,188,74,105,5,3,9,412,2892,69,42,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 412]"
mult8_cgp14ep_ep32768_wc200_wtmcla,22,19,168,71,88,14,10,8,400,2944,57,34,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc20320_wtmcla,27,13,168,63,86,15,15,13,400,2957,49,30,"[0, 0, 6, 4, 5, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc20480_2_wtmcla,23,23,160,70,96,9,16,20,417,2957,57,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep32768_wc20480_wtmcla,23,13,165,66,107,10,19,10,413,2935,66,34,"[0, 0, 11, 6, 1, 0, 0, 0]","[490, 413]"
mult8_cgp14ep_ep32768_wc2048_wtmcla,29,9,167,63,95,7,14,10,394,2946,62,34,"[0, 0, 10, 7, 1, 0, 0, 0]","[490, 394]"
mult8_cgp14ep_ep32768_wc20556_wtmcla,24,14,163,61,101,13,13,14,403,2914,59,30,"[0, 0, 12, 7, 1, 0, 0, 0]","[490, 403]"
mult8_cgp14ep_ep32768_wc2060_wtmcla,19,6,163,80,96,10,11,9,394,2949,53,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 394]"
mult8_cgp14ep_ep32768_wc20672_wtmcla,29,13,170,61,115,15,10,11,424,2931,71,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep32768_wc2068_wtmcla,27,9,170,64,102,14,11,10,407,2941,57,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 407]"
mult8_cgp14ep_ep32768_wc20992_wtmcla,39,11,162,65,93,10,11,9,400,2953,54,24,"[0, 0, 8, 7, 1, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc20_2_wtmcla,20,20,191,66,106,6,6,5,420,2907,74,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 420]"
mult8_cgp14ep_ep32768_wc20_wtmcla,19,8,189,73,103,7,6,8,413,2919,75,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 413]"
mult8_cgp14ep_ep32768_wc21108_wtmcla,25,13,163,62,97,11,8,16,395,2934,57,38,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc2112_wtmcla,19,17,190,61,107,8,8,11,421,2906,75,40,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep32768_wc2144_wtmcla,25,12,167,66,98,13,7,9,397,2920,62,32,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc21638_wtmcla,25,13,160,63,100,14,10,18,403,2946,63,30,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 403]"
mult8_cgp14ep_ep32768_wc21696_wtmcla,29,18,159,66,99,10,12,9,402,2963,53,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc2174_wtmcla,24,10,162,69,96,11,10,14,396,2946,50,34,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc2182_wtmcla,28,15,161,63,92,10,12,12,393,2962,61,26,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 393]"
mult8_cgp14ep_ep32768_wc218_wtmcla,20,9,188,68,105,7,6,15,418,2900,68,34,"[0, 0, 12, 6, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep32768_wc2224_wtmcla,18,10,171,66,106,11,13,12,407,2928,60,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 407]"
mult8_cgp14ep_ep32768_wc2240_wtmcla,21,8,175,68,91,13,6,5,387,2911,57,26,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 387]"
mult8_cgp14ep_ep32768_wc224_wtmcla,25,5,173,69,94,11,15,8,400,2937,58,30,"[0, 0, 4, 3, 4, 0, 0, 0]","[490, 400]"
mult8_cgp14ep_ep32768_wc2286_wtmcla,27,9,159,67,96,9,17,11,395,2923,62,22,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc22_2_wtmcla,20,11,177,69,105,11,14,8,415,2927,71,34,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep32768_wc22_3_wtmcla,22,9,178,66,103,8,7,12,405,2915,71,32,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 405]"
mult8_cgp14ep_ep32768_wc22_wtmcla,24,12,184,65,105,6,8,17,421,2933,72,34,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep32768_wc2304_2_wtmcla,23,13,174,62,105,15,11,11,414,2944,70,38,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep32768_wc2304_wtmcla,21,7,179,66,99,12,12,7,403,2935,58,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 403]"
mult8_cgp14ep_ep32768_wc230_wtmcla,21,7,174,71,89,6,14,10,392,2917,61,30,"[0, 0, 8, 3, 1, 0, 0, 0]","[490, 392]"
mult8_cgp14ep_ep32768_wc23136_wtmcla,31,15,165,59,103,11,17,9,410,2955,65,32,"[0, 0, 2, 6, 4, 0, 0, 0]","[490, 410]"
mult8_cgp14ep_ep32768_wc2314_wtmcla,20,13,164,70,87,6,16,17,393,2922,53,26,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 393]"
mult8_cgp14ep_ep32768_wc23532_wtmcla,31,12,169,67,91,8,9,10,397,2948,50,34,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc236_wtmcla,24,7,176,71,91,11,10,12,402,2946,60,30,"[0, 0, 1, 4, 3, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc2372_wtmcla,20,11,171,61,105,14,13,10,405,2926,70,40,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 405]"
mult8_cgp14ep_ep32768_wc242_wtmcla,22,12,163,69,99,14,16,7,402,2935,60,30,"[0, 0, 1, 6, 4, 0, 0, 0]","[490, 402]"
mult8_cgp14ep_ep32768_wc24_wtmcla,19,10,188,67,99,8,10,7,408,2931,75,32,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 408]"
mult8_cgp14ep_ep32768_wc250_2_wtmcla,26,7,173,62,97,8,12,11,396,2927,63,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 396]"
mult8_cgp14ep_ep32768_wc250_wtmcla,19,10,166,71,96,9,9,9,389,2911,62,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 389]"
mult8_cgp14ep_ep32768_wc25104_wtmcla,32,16,157,68,91,13,14,13,404,2938,55,24,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 404]"
mult8_cgp14ep_ep32768_wc2520_wtmcla,23,8,158,66,93,14,18,17,397,2948,59,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc2528_wtmcla,22,14,175,65,99,10,23,11,419,2936,52,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 419]"
mult8_cgp14ep_ep32768_wc252_2_wtmcla,25,6,172,66,93,14,11,8,395,2957,61,28,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc252_3_wtmcla,19,9,177,65,99,8,10,8,395,2932,65,36,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 395]"
mult8_cgp14ep_ep32768_wc252_wtmcla,33,12,164,67,87,10,8,7,388,2914,58,30,"[0, 0, 6, 4, 4, 0, 0, 0]","[490, 388]"
mult8_cgp14ep_ep32768_wc2562_wtmcla,29,8,159,70,98,9,10,14,397,2953,56,30,"[0, 0, 12, 7, 1, 0, 0, 0]","[490, 397]"
mult8_cgp14ep_ep32768_wc256_wtmcla,20,9,187,69,111,12,8,7,423,2910,78,40,"[0, 0, 5, 3, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep32768_wc26912_wtmcla,25,12,168,63,100,18,13,15,414,2964,59,38,"[0, 0, 11, 8, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep32768_wc26_2_wtmcla,19,11,188,66,103,10,7,10,414,2900,78,36,"[0, 0, 8, 3, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep32768_wc26_wtmcla,19,6,188,70,110,9,12,7,421,2919,75,34,"[0, 0, 10, 2, 5, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep32768_wc2706_wtmcla,22,14,168,63,99,10,10,13,399,2937,56,36,"[0, 0, 11, 6, 1, 0, 0, 0]","[490, 399]"
mult8_cgp14ep_ep32768_wc2742_wtmcla,25,11,165,57,97,13,18,5,391,2932,66,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 391]"
mult8_cgp14ep_ep32768_wc274_wtmcla,19,12,163,71,88,11,11,9,384,2948,55,28,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 384]"
mult8_cgp14ep_ep32768_wc27520_wtmcla,28,8,163,62,93,15,15,14,398,2928,54,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 398]"
mult8_cgp14ep_ep32768_wc276_wtmcla,24,12,160,76,84,12,15,8,391,2929,56,26,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 391]"
mult8_cgp14ep_ep32768_wc27840_wtmcla,27,15,173,63,102,6,13,12,411,2932,62,32,"[0, 0, 8, 6, 1, 0, 0, 0]","[490, 411]"
mult8_cgp14ep_ep32768_wc27_wtmcla,18,7,191,67,104,10,5,5,407,2902,75,36,"[0, 0, 11, 5, 1, 0, 0, 0]","[490, 407]"
mult8_cgp14ep_ep32768_wc282_wtmcla,25,11,170,68,95,5,8,10,392,2934,60,32,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 392]"
mult8_cgp14ep_ep32768_wc286_wtmcla,24,7,174,65,92,8,14,8,392,2926,62,28,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 392]"
mult8_cgp14ep_ep32768_wc28784_wtmcla,18,13,162,60,102,21,16,12,404,2949,63,34,"[0, 0, 12, 9, 1, 0, 0, 0]","[490, 404]"
